,missing states
0,Alabama
1,Alaska
2,Connecticut
3,Georgia
4,Hawaii
5,Idaho
6,Indiana
7,Iowa
8,Kentucky
9,Louisiana
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,New Hampshire
17,New Jersey
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Dakota
24,Tennessee
25,Utah
26,Vermont
27,Virginia
28,Wisconsin
29,Wyoming
